2023-03-14 12:24:00,109,9999999,2,4,0,,
2023-03-14 12:32:00,110,9999999,2,4,0,,
2023-03-14 12:35:00,111,9999999,2,3.9,0,,
2023-03-14 12:40:00,112,-0.688,0,3.83,0,,
2023-03-14 12:44:00,113,9999999,2,3.75,0,,
2023-03-14 12:46:00,115,-0.649,0,3.69,0,,
2023-03-14 12:47:00,116,-0.649,0,3.67,0,,
2023-03-14 12:48:00,117,-0.644,0,3.67,0,,
2023-03-14 12:49:00,118,-0.647,0,3.67,0,,
2023-03-14 12:50:00,119,-0.645,0,3.67,0,,
2023-03-14 12:51:00,120,-0.646,0,3.67,0,,
2023-03-14 12:52:00,121,-0.644,0,3.67,0,,
2023-03-14 12:53:00,122,-0.645,0,3.67,0,,
2023-03-14 12:54:00,123,9999999,2,3.67,0,,
2023-03-14 12:55:00,124,9999999,2,3.67,0,,
2023-03-14 12:56:00,125,9999999,2,3.67,0,,
2023-03-14 12:57:00,126,9999999,2,3.67,0,,
2023-03-14 12:58:00,127,9999999,2,3.67,0,,
2023-03-14 12:59:00,128,-0.997,0,3.67,0,,
2023-03-14 13:00:00,129,9999999,2,3.67,0,,
2023-03-14 13:01:00,130,9999999,2,3.67,0,,
2023-03-14 13:02:00,131,9999999,2,3.67,0,,
2023-03-14 13:03:00,132,9999999,2,3.67,0,,
2023-03-14 13:04:00,133,9999999,2,3.67,0,,
2023-03-14 13:05:00,134,9999999,2,3.67,0,,
2023-03-14 13:10:00,136,-1.733,0,3.0405,3.67,0,
2023-03-14 13:11:00,138,0,-1.735,0,3.0405,3.67,0
2023-03-14 13:12:00,139,30,-1.733,0,3.0403,3.67,0
2023-03-14 13:13:00,140,0,-1.737,0,3.0405,3.67,0
2023-03-14 13:14:00,141,0,9999999,2,3.0405,3.67,0
2023-03-14 13:15:00,142,0,9999999,2,3.0405,3.67,0
2023-03-14 13:16:00,143,0,9999999,2,3.0405,3.67,0
2023-03-14 13:17:00,144,0,-30.606,0,3.0405,3.67,0
2023-03-14 13:18:03,145,0,-28.042,0,3.0405,3.66,0
2023-03-14 13:19:00,146,10,9999999,2,3.0405,3.67,0
2023-03-14 13:20:00,147,0,9999999,2,3.0405,3.67,0
2023-03-14 13:21:00,148,0,9999999,2,3.0405,3.67,0
2023-03-14 13:22:00,149,0,9999999,2,3.0405,3.67,0
2023-03-14 13:23:00,150,0,9999999,2,3.0405,3.67,0
2023-03-14 13:24:00,151,0,9999999,2,3.0405,3.67,0
2023-03-14 13:25:00,152,0,9999999,2,3.0405,3.67,0
2023-03-14 13:29:00,154,0,9999999,2,3.0405,3.67,0
2023-03-14 13:30:00,155,0,9999999,2,3.0405,3.67,0
